충전소명,위도,경도,연중 무휴 여부,충전기 타입,충전 속도,충전기 개수,지번 주소,도로명 주소
가평 - 설악,37.686451,127.49363,O,수퍼차저,115,6,,
강릉 - 라카이샌드파인,37.8051,128.9039,O,수퍼차저,250,8,,
강릉 - 세인트존스,37.792542,128.919027,O,수퍼차저,250,6,,
강릉 - 테라로사,37.695736,128.892684,O,수퍼차저,250,8,,
경기 광주 - 나인블럭,37.403323,127.223379,O,수퍼차저,250,6,,
경주 - 보문 라한셀렉트,35.85035,129.27715,O,수퍼차저,250,6,,
경주 - 신라명가,35.820553,129.213584,O,수퍼차저,250,8,,
고성 - 오션투유리조트,38.3161,128.5311,O,수퍼차저,250,8,,
고양 - 도내동,37.632701,126.864688,O,수퍼차저,250,8,,
고양 - 소노캄,37.661945,126.750771,O,수퍼차저,115,4,,
고양 - 원마운트,37.6654,126.7548,O,수퍼차저,250,11,,
고양 - 일산 N2Wash,37.62986,126.7909,O,수퍼차저,250,8,,
고양-행주,37.6034,126.8217,O,수퍼차저,250,6,,
광명 - AK플라자,37.419172,126.882118,O,수퍼차저,250,3,,
광명 - 광명역,37.415607,126.882543,O,수퍼차저,250,8,,
광양 - LF스퀘어,34.961835,127.565427,O,수퍼차저,250,6,,
광주 - 유스퀘어,35.1597,126.8818,O,수퍼차저,250,6,,
광주 - 첨단,35.21649,126.84926,O,수퍼차저,250,6,,
광주 - 홀리데이인,35.147782,126.837552,O,수퍼차저,115,6,,
구미-형곡,36.10851,128.345842,O,수퍼차저,250,8,,
군산 - 대야,35.937086,126.855631,O,수퍼차저,115,8,,
군포 - AK 플라자,37.3729,126.9443,O,수퍼차저,250,8,,
김천 - 모다아울렛(인접 북구미하이패스 IC 진출입 가능),36.1551,128.28075,O,수퍼차저,250,8,,
김포 - 구래,37.646358,126.630319,O,수퍼차저,250,6,,
김해 - 주촌,35.230323,128.841529,O,수퍼차저,250,8,,
남양주 - 화도 디스플레인,37.654,127.3198,O,수퍼차저,250,6,,
논산 - 라온빌리지,36.128824,127.12962,O,수퍼차저,115,6,,
당진,36.909503,126.694075,O,수퍼차저,115,4,,
당진 - 행담도 모다아울렛,36.940999,126.81087,O,수퍼차저,250,8,,
대구 - EXCO,35.907022,128.613115,O,수퍼차저,115,6,,
대구 - 수성,35.82726,128.62369,O,수퍼차저,250,8,,
대구 - 이시아폴리스,35.9229,128.63571,O,수퍼차저,250,6,,
대전 - 롯데백화점,36.34076,127.38949,O,수퍼차저,250,6,,
대전-신탄진,36.423696,127.419877,O,수퍼차저,250,6,,
대전-신탄진,36.423696,127.419877,O,수퍼차저,115,6,,
동해,37.514458,129.103181,O,수퍼차저,250,6,,
모다아울렛-구리,37.6333,127.1159,O,수퍼차저,250,8,,
모다아울렛-충주,36.961,127.8998,O,수퍼차저,250,8,,
목포,34.8073,126.4259,O,수퍼차저,250,8,,
부산 - 강서 대저,35.219392,128.988331,O,수퍼차저,115,6,,
부산 - 기장,35.1931,129.2115,O,수퍼차저,250,12,,
부산 - 남구 IFC,35.148279,129.065439,O,수퍼차저,115,4,,
부산 - 농심호텔,35.219655,129.08299,O,수퍼차저,250,6,,
부산 - 센텀 KNN타워,35.172067,129.128469,O,수퍼차저,250,6,,
부산 - 센텀시티,35.169604,129.13121,O,수퍼차저,250,6,,
부산 - 연제 서비스센터,35.188372,129.110238,O,수퍼차저,115,4,,
부산 - 하단 아트몰링(무료주차30분),35.1068,128.9664,O,수퍼차저,250,6,,
부산 - 해운대 파라다이스,35.160676,129.163823,O,수퍼차저,115,6,,
부여 - 롯데프리미엄아울렛,36.305926,126.900338,O,수퍼차저,250,8,,
부천 - 롯데백화점,37.50255,126.775018,O,수퍼차저,250,9,,
삼척 - 원더플주유소,37.429375,129.182856,O,수퍼차저,250,6,,
상주,36.515931,128.163432,O,수퍼차저,250,6,,
상주,36.515931,128.163432,O,수퍼차저,115,6,,
서울 - 강남N타워,37.499873,127.032354,O,수퍼차저,115,4,,
서울 - 강동,37.567697,127.160247,O,수퍼차저,250,9,,
서울 - 강북 파라스파라,37.6632,127.0085,O,수퍼차저,250,6,,
서울 - 고척 아이파크몰(아이파크몰 앱 주중 무료주차 월 300분 제공),37.497972,126.860485,O,수퍼차저,250,8,,
서울 - 김포공항 롯데몰,37.563265,126.803108,O,수퍼차저,115,4,,
서울 - 대치 KT&G,37.507,127.0654,O,수퍼차저,250,9,,
서울 - 롯데월드타워,37.513236,127.102418,O,수퍼차저,115,6,,
서울 - 마리오아울렛,37.478,126.8872,O,수퍼차저,250,9,,
서울 - 서초 쌍용플래티넘,37.48406,127.01732,O,수퍼차저,250,6,,
서울 - 송파 소피텔,37.513534,127.106174,O,수퍼차저,250,6,,
서울 - 여의도 CCMM,37.52929,126.92484,O,수퍼차저,250,6,,
서울 - 여의도 IFC,37.52526,126.925714,O,수퍼차저,250,4,,
서울 - 왕십리,37.5604,127.0386,O,수퍼차저,250,6,,
서울 - 용산 그랜드하얏트,37.539341,126.997137,O,수퍼차저,115,4,,
서울 - 용산 드래곤시티,37.532244,126.961476,O,수퍼차저,250,12,,
서울 - 잠실 롯데월드,37.5121,127.0992,O,수퍼차저,250,6,,
서울 - 종각 센트로폴리스,37.5717,126.9834,O,수퍼차저,250,6,,
서울 - 종로 그랑서울,37.570693,126.981511,O,수퍼차저,115,6,,
서울 - 청량리,37.5813,127.0489,O,수퍼차저,250,3,,
서울-강남 파르나스,37.509215,127.06079,O,수퍼차저,115,5,,
서울-상암,37.5785,126.8944,O,수퍼차저,250,6,,
서울-성수 디타워,37.544,127.0442,O,수퍼차저,250,9,,
서울-센터필드,37.503216,127.04162,O,수퍼차저,250,6,,
서울-수유,37.63714,127.02334,O,수퍼차저,250,6,,
서울-신사,37.51996,127.01902,O,수퍼차저,250,6,,
서울-압구정,37.525418,127.02887,O,수퍼차저,115,4,,
서울-타임스트림 (30분 무료주차),37.4839,126.9303,O,수퍼차저,250,6,,
성남 - 분당 AK 플라자,37.384,127.1234,O,수퍼차저,250,9,,
성남 - 분당 한국잡월드,37.377553,127.105428,O,수퍼차저,250,8,,
성남 - 서현,37.385984,127.120595,O,수퍼차저,250,9,,
성남 - 오리,37.340546,127.106848,O,수퍼차저,115,6,,
성남 - 판교 디테라스,37.40366,127.109138,O,수퍼차저,250,9,,
성남 - 판교 카카오 아지트,37.3953,127.1104,O,수퍼차저,250,3,,
성남 - 판교 테크원,37.395519,127.112237,O,수퍼차저,250,3,,
세종 - AK플라자,36.5003,127.25686,O,수퍼차저,250,9,,
세종-대평,36.4691,127.26856,O,수퍼차저,250,6,,
속초 - 롯데리조트,38.180856,128.611593,O,수퍼차저,250,3,,
속초 - 롯데리조트,38.180856,128.611593,O,수퍼차저,115,4,,
속초-한화리조트 설악,38.2081,128.5265,O,수퍼차저,250,6,,
수원 - 광교 롯데아울렛,37.28656,127.05594,O,수퍼차저,250,6,,
수원 - 광교 하동,37.293424,127.070232,O,수퍼차저,250,3,,
수원 - 롯데몰,37.264011,126.996636,O,수퍼차저,115,4,,
수원 - 영통 판타지움,37.2456,127.0624,O,수퍼차저,250,8,,
수원-AK Plaza,37.2663,126.9997,O,수퍼차저,250,6,,
순천 - 조례동,34.96316,127.52554,O,수퍼차저,250,8,,
안동,36.591,128.6313,O,수퍼차저,250,6,,
안성,36.9886,127.2669,O,수퍼차저,250,6,,
안양 - 평촌,37.39301,126.96228,O,수퍼차저,250,6,,
양산 - 물금 오슬로파크,35.327591,129.011813,O,수퍼차저,250,6,,
양양 - 물치항,38.15794,128.609466,O,수퍼차저,250,6,,
양양 - 설해원,38.0543,128.66041,O,수퍼차저,250,8,,
에피소드 서초,37.4897,127.0298,O,수퍼차저,250,6,,
여수 - 히든베이호텔,34.72175,127.69938,O,수퍼차저,250,8,,
여주 - 신세계프리미엄아울렛,37.240252,127.613783,O,수퍼차저,250,8,,
여주 - 썬밸리호텔,37.292869,127.659924,O,수퍼차저,250,6,,
영월,37.179749,128.447012,O,수퍼차저,250,8,,
완주-J플라자,35.987115,127.117546,O,수퍼차저,250,8,,
용인 - 기흥 롯데프리미엄아울렛,37.225226,127.121328,O,수퍼차저,250,6,,
용인 - 양지로지스틱스,37.229946,127.297904,O,수퍼차저,250,8,,
용인 - 포곡,37.27461,127.21222,O,수퍼차저,250,8,,
울산 모다아울렛,35.5771,129.3571,O,수퍼차저,250,6,,
원주 - AK플라자,37.3455,127.9276,O,수퍼차저,250,9,,
원주 - 오크밸리,37.435072,127.818718,O,수퍼차저,115,6,,
음성 - 금왕,36.985446,127.583801,O,수퍼차저,250,8,,
음성 - 대소,36.976692,127.486966,O,수퍼차저,250,8,,
의왕 - 롯데 타임빌라스,37.375636,127.009472,O,수퍼차저,250,3,,
의정부,37.7003,127.056,O,수퍼차저,250,6,,
이천,37.1965,127.4459,O,수퍼차저,250,8,,
인제 - 스피디움,38.0053,128.289,O,수퍼차저,250,8,,
인천 - 강화 씨사이드리조트,37.617614,126.499057,O,수퍼차저,250,8,,
인천 - 동춘,37.39627,126.66357,O,수퍼차저,250,8,,
인천 - 모다아울렛(인천점),37.51,126.6478,O,수퍼차저,250,4,,
인천 - 미추홀 앨리웨이,37.470798,126.665855,O,수퍼차저,250,6,,
인천 - 송도 트리플스트릿,37.378678,126.662796,O,수퍼차저,250,8,,
인천 - 연수,37.428561,126.636262,O,수퍼차저,250,6,,
인천 - 영종 그랜드하얏트 동관,37.44031,126.45744,O,수퍼차저,250,3,,
인천 - 영종 그랜드하얏트 서관,37.4398,126.4561,O,수퍼차저,250,3,,
인천 - 청라 스퀘어7,37.53236,126.64166,O,수퍼차저,250,8,,
임실 - 치즈테마파크,35.630464,127.303925,O,수퍼차저,250,6,,
장흥 - 정남진물과학관,34.686232,126.899384,O,수퍼차저,250,8,,
전주 - 미곡로스터리,35.841771,127.173774,O,수퍼차저,250,4,,
전주 - 효자,35.80698,127.11566,O,수퍼차저,250,8,,
제주 - 서귀포 롯데호텔,33.249844,126.409044,O,수퍼차저,115,12,,
제주 - 테슬라스토어,33.492611,126.50715,O,수퍼차저,250,8,,
제천 - 남제천IC 만남의광장,37.071991,128.192024,O,수퍼차저,250,8,,
진주 - 롯데몰,35.180263,128.13972,O,수퍼차저,250,9,,
진주 - 모다아울렛,35.13275,128.0987,O,수퍼차저,250,6,,
진천 - 뤁스퀘어,36.9422,127.43131,O,수퍼차저,250,8,,
창원 - 상남,35.223019,128.681022,O,수퍼차저,250,6,,
천안 - 중앙교회,36.841505,127.151312,O,수퍼차저,250,6,,
청도,35.654118,128.749351,O,수퍼차저,250,6,,
청주 - 강서 (강서 IC 진출입 / 20분 회차 + 업장 이용 시 무료 주차),36.6154,127.4213,O,수퍼차저,250,12,,
청주 - 율량,36.66529,127.4993,O,수퍼차저,250,8,,
춘천 - ENTA2022,37.86326,127.74814,O,수퍼차저,250,6,,
충주 - 대소원 홈마트,37.0016,127.83573,O,수퍼차저,250,8,,
태백 365 세이프타운,37.099472,129.02228,O,수퍼차저,250,8,,
파주 - 뮌스터담,37.726815,126.783557,O,수퍼차저,250,8,,
평창 - 대관령,37.68522,128.757668,O,수퍼차저,250,8,,
평창 수퍼차저,37.586293,128.322665,O,수퍼차저,100,1,,
평택 - AK플라자,36.99065,127.08598,O,수퍼차저,250,6,,
평택 - 송탄,37.053291,127.080239,O,수퍼차저,250,8,,
포항 - 오토파크,36.059093,129.320555,O,수퍼차저,250,12,,
하남 - 미사 ,37.568141,127.196951,O,수퍼차저,250,6,,
하남 - 스타필드,37.545551,127.223682,O,수퍼차저,115,6,,
하동,35.03,127.9039,O,수퍼차저,250,8,,
화성 - 동탄 그란비아스타 (무료주차 30분),37.1934,127.0999,O,수퍼차저,250,9,,
화성 - 동탄 롯데백화점,37.200831,127.097432,O,수퍼차저,250,3,,
화성 - 발안,37.13485,126.895718,O,수퍼차저,250,6,,
화성 - 서동탄 카페 아스타나,37.2188,127.05464,O,수퍼차저,250,8,,
